3337519.6002	1742282.5904	5131459.3812
3337519.6003	1742282.5905	5131459.3813
3337519.6004	1742282.5906	5131459.3814
3337519.6005	1742282.5907	5131459.3815
3337519.6006	1742282.5908	5131459.3816
3337519.6007	1742282.5909	5131459.3817
3337519.6008	1742282.5910	5131459.3818
3337519.6009	1742282.5911	5131459.3819
3337519.6010	1742282.5912	5131459.3820
3337519.6011	1742282.5913	5131459.3821
3337519.6012	1742282.5914	5131459.3822
3337519.6013	1742282.5915	5131459.3823
3337519.6014	1742282.5916	5131459.3824
3337519.6015	1742282.5917	5131459.3825
3337519.6016	1742282.5918	5131459.3826
3337519.6017	1742282.5919	5131459.3827
3337519.6018	1742282.5920	5131459.3828
3337519.6019	1742282.5921	5131459.3829
3337519.6020	1742282.5922	5131459.3830
3337519.6021	1742282.5923	5131459.3831
3337519.6022	1742282.5924	5131459.3832
3337519.6023	1742282.5925	5131459.3833
3337519.6024	1742282.5926	5131459.3834
3337519.6025	1742282.5927	5131459.3835
3337519.6026	1742282.5928	5131459.3836
3337519.6027	1742282.5929	5131459.3837
3337519.6028	1742282.5930	5131459.3838
3337519.6029	1742282.5931	5131459.3839
3337519.6030	1742282.5932	5131459.3840
3337519.6031	1742282.5933	5131459.3841
3337519.6032	1742282.5934	5131459.3842
3337519.6033	1742282.5935	5131459.3843
3337519.6034	1742282.5936	5131459.3844
3337519.6035	1742282.5937	5131459.3845
3337519.6036	1742282.5938	5131459.3846
3337519.6037	1742282.5939	5131459.3847
3337519.6038	1742282.5940	5131459.3848
3337519.6039	1742282.5941	5131459.3849
3337519.6040	1742282.5942	5131459.3850
3337519.6041	1742282.5943	5131459.3851
3337519.6042	1742282.5944	5131459.3852
3337519.6043	1742282.5945	5131459.3853
3337519.6044	1742282.5946	5131459.3854
3337519.6045	1742282.5947	5131459.3855
3337519.6046	1742282.5948	5131459.3856
3337519.6047	1742282.5949	5131459.3857
3337519.6048	1742282.5950	5131459.3858
3337519.6049	1742282.5951	5131459.3859
3337519.6050	1742282.5952	5131459.3860
3337519.6051	1742282.5953	5131459.3861
3337519.6052	1742282.5954	5131459.3862
3337519.6053	1742282.5955	5131459.3863
3337519.6054	1742282.5956	5131459.3864
3337519.6055	1742282.5957	5131459.3865
3337519.6056	1742282.5958	5131459.3866
3337519.6057	1742282.5959	5131459.3867
3337519.6058	1742282.5960	5131459.3868
3337519.6059	1742282.5961	5131459.3869
3337519.6060	1742282.5962	5131459.3870
3337519.6061	1742282.5963	5131459.3871
3337519.6062	1742282.5964	5131459.3872
3337519.6063	1742282.5965	5131459.3873
3337519.6064	1742282.5966	5131459.3874
3337519.6065	1742282.5967	5131459.3875
3337519.6066	1742282.5968	5131459.3876
3337519.6067	1742282.5969	5131459.3877
3337519.6068	1742282.5970	5131459.3878
3337519.6069	1742282.5971	5131459.3879
3337519.6070	1742282.5972	5131459.3880
3337519.6071	1742282.5973	5131459.3881
3337519.6072	1742282.5974	5131459.3882
3337519.6073	1742282.5975	5131459.3883
3337519.6074	1742282.5976	5131459.3884
3337519.6075	1742282.5977	5131459.3885
3337519.6076	1742282.5978	5131459.3886
3337519.6077	1742282.5979	5131459.3887
3337519.6078	1742282.5980	5131459.3888
3337519.6079	1742282.5981	5131459.3889
3337519.6080	1742282.5982	5131459.3890
3337519.6081	1742282.5983	5131459.3891
3337519.6082	1742282.5984	5131459.3892
3337519.6083	1742282.5985	5131459.3893
3337519.6084	1742282.5986	5131459.3894
3337519.6085	1742282.5987	5131459.3895
3337519.6086	1742282.5988	5131459.3896
3337519.6087	1742282.5989	5131459.3897
3337519.6088	1742282.5990	5131459.3898
3337519.6089	1742282.5991	5131459.3899
3337519.6090	1742282.5992	5131459.3900
3337519.6091	1742282.5993	5131459.3901
3337519.6092	1742282.5994	5131459.3902
3337519.6093	1742282.5995	5131459.3903
3337519.6094	1742282.5996	5131459.3904
3337519.6095	1742282.5997	5131459.3905
3337519.6096	1742282.5998	5131459.3906
3337519.6097	1742282.5999	5131459.3907
3337519.6098	1742282.6000	5131459.3908
3337519.6099	1742282.6001	5131459.3909
3337519.6100	1742282.6002	5131459.3910
3337519.6101	1742282.6003	5131459.3911
3337519.6102	1742282.6004	5131459.3912
3337519.6103	1742282.6005	5131459.3913
3337519.6104	1742282.6006	5131459.3914
3337519.6105	1742282.6007	5131459.3915
3337519.6106	1742282.6008	5131459.3916
3337519.6107	1742282.6009	5131459.3917
3337519.6108	1742282.6010	5131459.3918
3337519.6109	1742282.6011	5131459.3919
3337519.6110	1742282.6012	5131459.3920
3337519.6111	1742282.6013	5131459.3921
3337519.6112	1742282.6014	5131459.3922
3337519.6113	1742282.6015	5131459.3923
3337519.6114	1742282.6016	5131459.3924
3337519.6115	1742282.6017	5131459.3925
3337519.6116	1742282.6018	5131459.3926
3337519.6117	1742282.6019	5131459.3927
3337519.6118	1742282.6020	5131459.3928
3337519.6119	1742282.6021	5131459.3929
3337519.6120	1742282.6022	5131459.3930
3337519.6121	1742282.6023	5131459.3931
3337519.6122	1742282.6024	5131459.3932
3337519.6123	1742282.6025	5131459.3933
3337519.6124	1742282.6026	5131459.3934
3337519.6125	1742282.6027	5131459.3935
3337519.6126	1742282.6028	5131459.3936
3337519.6127	1742282.6029	5131459.3937
3337519.6128	1742282.6030	5131459.3938
3337519.6129	1742282.6031	5131459.3939
3337519.6130	1742282.6032	5131459.3940
3337519.6131	1742282.6033	5131459.3941
3337519.6132	1742282.6034	5131459.3942
3337519.6133	1742282.6035	5131459.3943
3337519.6134	1742282.6036	5131459.3944
